epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.1528,0.98203,2.30335,1.33164,0.73786,0.62827,0.73719,0.54667,0.98979,1.66642,1.42132,0.00332912,0.00332912,0.00332912
2,138.133,0.99963,1.56709,1.3221,0.78607,0.77907,0.82631,0.58699,1.06285,1.38969,1.49594,0.00662948,0.00662948,0.00662948
3,203.236,1.09578,1.55493,1.38562,0.7821,0.80684,0.85756,0.6231,1.02316,1.15708,1.47539,0.00989683,0.00989683,0.00989683
4,267.903,1.16755,1.48383,1.43897,0.78932,0.79691,0.83396,0.60409,1.03539,1.05827,1.47607,0.0098515,0.0098515,0.0098515
5,332.373,1.11227,1.31889,1.40118,0.87461,0.84024,0.89107,0.65909,0.99697,0.91963,1.4366,0.009802,0.009802,0.009802
6,396.269,1.08104,1.20335,1.37442,0.90132,0.84294,0.91821,0.69953,0.91284,0.80248,1.34852,0.0097525,0.0097525,0.0097525
7,459.607,1.04251,1.10544,1.34841,0.87957,0.88002,0.92449,0.70056,0.91929,0.76024,1.37276,0.009703,0.009703,0.009703
8,523.242,1.02057,1.0575,1.33174,0.90825,0.85632,0.93146,0.7176,0.88107,0.7001,1.31333,0.0096535,0.0096535,0.0096535
9,586.668,1.00196,1.00924,1.30962,0.84707,0.84587,0.90453,0.70752,0.8796,0.75372,1.30143,0.009604,0.009604,0.009604
10,650.191,0.98277,0.95723,1.29665,0.88938,0.89374,0.93632,0.73658,0.82781,0.64601,1.27783,0.0095545,0.0095545,0.0095545
11,713.73,0.97429,0.95135,1.29019,0.93634,0.90865,0.95427,0.76262,0.79165,0.58452,1.23072,0.009505,0.009505,0.009505
12,777.296,0.94614,0.88984,1.27256,0.91382,0.87509,0.92726,0.7349,0.79904,0.57859,1.24981,0.0094555,0.0094555,0.0094555
13,840.822,0.93496,0.87944,1.27596,0.9299,0.89347,0.95019,0.76522,0.7866,0.54988,1.23254,0.009406,0.009406,0.009406
14,904.086,0.93768,0.86652,1.27285,0.91675,0.91606,0.9461,0.76535,0.77734,0.55383,1.22816,0.0093565,0.0093565,0.0093565
15,967.609,0.91598,0.83621,1.25061,0.93055,0.9138,0.95789,0.77612,0.75266,0.51268,1.19314,0.009307,0.009307,0.009307
16,1030.89,0.9107,0.81546,1.24518,0.94592,0.89203,0.94889,0.76226,0.76722,0.52226,1.21996,0.0092575,0.0092575,0.0092575
17,1094.29,0.89186,0.79506,1.24382,0.93506,0.90434,0.95813,0.78654,0.71658,0.49462,1.16627,0.009208,0.009208,0.009208
18,1157.75,0.88699,0.78428,1.23189,0.92544,0.92195,0.96077,0.7941,0.72131,0.47372,1.17157,0.0091585,0.0091585,0.0091585
19,1221.85,0.88183,0.77394,1.23185,0.92981,0.93005,0.96406,0.79342,0.73136,0.48543,1.18322,0.009109,0.009109,0.009109
20,1285.44,0.88672,0.77139,1.23269,0.95027,0.91363,0.96441,0.79579,0.7219,0.46127,1.16906,0.0090595,0.0090595,0.0090595
21,1348.5,0.87389,0.75824,1.22422,0.94518,0.93224,0.96773,0.80155,0.69248,0.4634,1.14311,0.00901,0.00901,0.00901
22,1412.82,0.84483,0.71886,1.20038,0.93299,0.93462,0.96754,0.81256,0.67568,0.434,1.12826,0.0089605,0.0089605,0.0089605
23,1476.71,0.84892,0.71612,1.20603,0.92089,0.9107,0.95867,0.79276,0.73203,0.51397,1.18146,0.008911,0.008911,0.008911
24,1540.15,0.84101,0.70331,1.20149,0.93125,0.92264,0.9646,0.8049,0.6895,0.44434,1.1367,0.0088615,0.0088615,0.0088615
25,1603.67,0.83912,0.69588,1.20057,0.9466,0.93015,0.96916,0.81051,0.69959,0.44276,1.1462,0.008812,0.008812,0.008812
26,1666.96,0.83925,0.70199,1.19725,0.92322,0.93339,0.96881,0.8106,0.69135,0.42867,1.12955,0.0087625,0.0087625,0.0087625
27,1730.45,0.83367,0.69286,1.19495,0.92034,0.95538,0.97094,0.81695,0.66779,0.42362,1.12478,0.008713,0.008713,0.008713
28,1793.99,0.82829,0.68066,1.19315,0.94013,0.93215,0.97161,0.82292,0.65239,0.41239,1.10909,0.0086635,0.0086635,0.0086635
29,1857.47,0.82651,0.68254,1.1922,0.92604,0.94293,0.96872,0.81301,0.65854,0.41138,1.11611,0.008614,0.008614,0.008614
30,1920.86,0.81568,0.66085,1.17768,0.94714,0.94735,0.97269,0.81346,0.66158,0.39579,1.10705,0.0085645,0.0085645,0.0085645
31,1984.42,0.81343,0.65643,1.18307,0.93954,0.94182,0.96879,0.8195,0.64979,0.38824,1.10824,0.008515,0.008515,0.008515
32,2049.54,0.80202,0.65072,1.17692,0.94802,0.94705,0.9708,0.82688,0.63901,0.38669,1.09542,0.0084655,0.0084655,0.0084655
33,2114.47,0.80489,0.63823,1.17401,0.95556,0.9498,0.97123,0.82127,0.65645,0.40028,1.10924,0.008416,0.008416,0.008416
34,2179.42,0.80028,0.63746,1.17499,0.95837,0.93069,0.97496,0.83046,0.63425,0.39184,1.09322,0.0083665,0.0083665,0.0083665
35,2243.58,0.80238,0.64423,1.17426,0.94677,0.94592,0.97517,0.8254,0.63921,0.39304,1.0927,0.008317,0.008317,0.008317
36,2307.98,0.79888,0.63575,1.16722,0.94292,0.93967,0.97199,0.81716,0.6626,0.3928,1.10538,0.0082675,0.0082675,0.0082675
37,2371.32,0.7863,0.63071,1.16213,0.95432,0.94051,0.97375,0.8289,0.63696,0.39265,1.09469,0.008218,0.008218,0.008218
38,2434.91,0.79074,0.62771,1.15974,0.95549,0.93848,0.97741,0.82761,0.63494,0.37904,1.09773,0.0081685,0.0081685,0.0081685
39,2498.87,0.79376,0.62167,1.16312,0.93138,0.96363,0.97533,0.82809,0.64309,0.3719,1.09685,0.008119,0.008119,0.008119
40,2562.11,0.78125,0.60869,1.15801,0.95018,0.94116,0.97524,0.83571,0.61698,0.3665,1.08109,0.0080695,0.0080695,0.0080695
41,2626.75,0.78605,0.6184,1.16663,0.95178,0.95137,0.97162,0.83096,0.61963,0.36915,1.08075,0.00802,0.00802,0.00802
42,2691.32,0.77358,0.60929,1.15235,0.94976,0.9423,0.97313,0.83052,0.63292,0.36207,1.09199,0.0079705,0.0079705,0.0079705
43,2755.92,0.77971,0.60985,1.15342,0.95922,0.94475,0.97757,0.84036,0.62626,0.36254,1.08133,0.007921,0.007921,0.007921
44,2821.71,0.77426,0.59953,1.1517,0.94952,0.95943,0.97512,0.83941,0.62218,0.36378,1.07555,0.0078715,0.0078715,0.0078715
45,2886.52,0.76899,0.59372,1.15072,0.94701,0.95829,0.97164,0.83198,0.6173,0.3626,1.07749,0.007822,0.007822,0.007822
46,2951.28,0.75791,0.58194,1.14438,0.93896,0.96329,0.97932,0.83941,0.60975,0.3545,1.07738,0.0077725,0.0077725,0.0077725
47,3016.14,0.7731,0.59485,1.15253,0.94123,0.96044,0.97669,0.83747,0.61313,0.35444,1.06943,0.007723,0.007723,0.007723
48,3080.35,0.76567,0.57756,1.14846,0.95068,0.95584,0.97632,0.83608,0.61372,0.34536,1.07194,0.0076735,0.0076735,0.0076735
49,3145.31,0.7633,0.58532,1.14691,0.95287,0.95863,0.97528,0.83796,0.61226,0.34753,1.07534,0.007624,0.007624,0.007624
50,3210.1,0.75605,0.57924,1.1417,0.94523,0.95068,0.97436,0.83927,0.6108,0.3617,1.07157,0.0075745,0.0075745,0.0075745
51,3274.62,0.7496,0.5707,1.13593,0.94873,0.95595,0.97753,0.84278,0.60783,0.34978,1.06549,0.007525,0.007525,0.007525
52,3339.29,0.7468,0.57052,1.13476,0.95204,0.9513,0.97773,0.84811,0.59611,0.34888,1.05864,0.0074755,0.0074755,0.0074755
53,3403.86,0.74031,0.5502,1.12939,0.94639,0.96335,0.97703,0.84319,0.59851,0.34272,1.0606,0.007426,0.007426,0.007426
54,3469.79,0.74098,0.56202,1.13348,0.95455,0.96322,0.97864,0.84734,0.59436,0.33296,1.06047,0.0073765,0.0073765,0.0073765
55,3534.6,0.7419,0.55873,1.1351,0.95512,0.96109,0.97632,0.8464,0.59916,0.34267,1.05911,0.007327,0.007327,0.007327
56,3599.56,0.74383,0.55963,1.12932,0.95527,0.96228,0.97821,0.8501,0.59167,0.34635,1.05458,0.0072775,0.0072775,0.0072775
57,3664.48,0.73521,0.54961,1.12794,0.95676,0.95851,0.97983,0.84688,0.58789,0.33378,1.05533,0.007228,0.007228,0.007228
58,3729.59,0.73531,0.55603,1.12511,0.95546,0.96978,0.97903,0.84805,0.58905,0.31818,1.05653,0.0071785,0.0071785,0.0071785
59,3794.62,0.74044,0.56075,1.12986,0.9509,0.96734,0.97951,0.85032,0.57859,0.32016,1.05264,0.007129,0.007129,0.007129
60,3858.13,0.73376,0.5475,1.12589,0.94629,0.96818,0.97829,0.84618,0.5854,0.33177,1.05782,0.0070795,0.0070795,0.0070795
61,3921.78,0.72988,0.55324,1.12715,0.95604,0.96908,0.9797,0.85164,0.58034,0.34285,1.04586,0.00703,0.00703,0.00703
62,3985.35,0.72702,0.54103,1.12247,0.95465,0.96381,0.9793,0.85122,0.5742,0.32217,1.03873,0.0069805,0.0069805,0.0069805
63,4049.48,0.72614,0.54973,1.12616,0.95724,0.96666,0.97902,0.8527,0.57746,0.32166,1.04275,0.006931,0.006931,0.006931
64,4112.59,0.72158,0.5322,1.12155,0.96001,0.95848,0.98072,0.85222,0.57897,0.32241,1.04248,0.0068815,0.0068815,0.0068815
65,4176.45,0.73223,0.54543,1.12478,0.95523,0.96519,0.98119,0.85077,0.57796,0.32355,1.04119,0.006832,0.006832,0.006832
66,4240.58,0.71958,0.52946,1.11433,0.96287,0.96729,0.98322,0.85461,0.56875,0.31817,1.03957,0.0067825,0.0067825,0.0067825
67,4304.96,0.71289,0.52925,1.11963,0.95135,0.97203,0.9815,0.85463,0.57355,0.31557,1.04254,0.006733,0.006733,0.006733
68,4368.43,0.71323,0.52936,1.11353,0.95463,0.96275,0.98055,0.85513,0.56726,0.31739,1.03572,0.0066835,0.0066835,0.0066835
69,4431.87,0.72163,0.52777,1.11591,0.96199,0.96571,0.9815,0.85528,0.56584,0.3124,1.03621,0.006634,0.006634,0.006634
70,4495.8,0.71113,0.5179,1.11457,0.95933,0.97396,0.98179,0.85535,0.5674,0.31078,1.03214,0.0065845,0.0065845,0.0065845
71,4559.19,0.71663,0.5239,1.11587,0.96014,0.96408,0.98067,0.85259,0.56258,0.31338,1.0307,0.006535,0.006535,0.006535
72,4622.69,0.70798,0.51272,1.11302,0.9691,0.96793,0.98207,0.85725,0.55052,0.30285,1.02353,0.0064855,0.0064855,0.0064855
