epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.9975,0.74109,1.75625,1.14717,0.69025,0.68025,0.70637,0.56137,0.73911,2.19796,1.24774,0.00041507,0.00041507,0.00041507
2,105.632,0.77336,1.21686,1.16258,0.66956,0.65645,0.72319,0.56956,0.82156,1.46632,1.27722,0.000823503,0.000823503,0.000823503
3,145.14,0.80539,1.07398,1.17601,0.75202,0.71275,0.78906,0.62601,0.76601,1.27532,1.24974,0.00122369,0.00122369,0.00122369
4,185.667,0.78912,0.97482,1.17025,0.77197,0.75541,0.82435,0.66724,0.7267,1.3339,1.20404,0.00121287,0.00121287,0.00121287
5,230.452,0.75367,0.88797,1.14701,0.80145,0.76638,0.79237,0.65592,0.74667,1.10487,1.2273,0.0012005,0.0012005,0.0012005
6,274.606,0.73704,0.81871,1.14081,0.73982,0.81463,0.79903,0.66042,0.69702,1.04682,1.17141,0.00118812,0.00118812,0.00118812
7,315.772,0.71438,0.79154,1.12944,0.80201,0.8383,0.84315,0.69177,0.673,1.0095,1.18079,0.00117575,0.00117575,0.00117575
8,365.316,0.69364,0.75056,1.11846,0.83823,0.81077,0.8534,0.71261,0.64747,0.98578,1.16672,0.00116337,0.00116337,0.00116337
9,407.782,0.67752,0.7202,1.10972,0.80051,0.83659,0.83385,0.71258,0.6162,0.82257,1.12509,0.001151,0.001151,0.001151
10,457.145,0.67443,0.70046,1.1097,0.79182,0.79748,0.83745,0.70683,0.60756,1.01433,1.11836,0.00113863,0.00113863,0.00113863
11,506.858,0.67539,0.68245,1.10602,0.75688,0.82291,0.82371,0.69817,0.62248,0.91242,1.12515,0.00112625,0.00112625,0.00112625
12,556.824,0.65379,0.6539,1.09105,0.86869,0.83228,0.87434,0.73548,0.61987,0.78127,1.12366,0.00111388,0.00111388,0.00111388
